iter	Passed	Remaining
136	1464	9224
137	1473	9204
138	1483	9188
139	1492	9170
140	1502	9154
141	1512	9139
142	1522	9123
143	1532	9111
144	1542	9093
145	1551	9077
146	1562	9065
147	1572	9049
148	1581	9034
149	1591	9018
150	1601	9002
151	1610	8986
152	1620	8972
153	1631	8963
154	1642	8954
155	1652	8937
156	1661	8922
157	1671	8905
158	1681	8891
159	1690	8876
160	1700	8863
161	1710	8846
162	1720	8832
163	1729	8816
164	1739	8802
165	1749	8788
166	1759	8774
167	1768	8758
168	1778	8746
169	1790	8739
170	1800	8730
171	1810	8717
172	1820	8704
173	1831	8696
174	1842	8683
175	1853	8677
176	1863	8664
177	1873	8651
178	1883	8637
179	1893	8626
180	1903	8613
181	1913	8598
182	1922	8582
183	1933	8572
184	1943	8559
185	1953	8548
186	1963	8535
187	1972	8521
188	1982	8508
189	1992	8493
190	2001	8478
191	2011	8463
192	2020	8450
193	2030	8437
194	2040	8424
195	2051	8414
196	2061	8402
197	2071	8390
198	2081	8379
199	2091	8366
200	2101	8352
201	2110	8337
202	2119	8323
203	2130	8312
204	2140	8299
205	2149	8285
206	2159	8273
207	2170	8262
208	2179	8249
209	2189	8234
210	2198	8220
211	2207	8206
212	2217	8192
213	2227	8180
214	2237	8168
215	2248	8159
216	2258	8150
217	2268	8136
218	2277	8122
219	2287	8109
220	2297	8098
221	2307	8085
222	2316	8072
223	2326	8060
224	2336	8046
225	2346	8035
226	2356	8025
227	2366	8013
228	2375	7999
229	2385	7985
230	2395	7973
231	2404	7960
232	2414	7947
233	2424	7936
234	2434	7923
235	2444	7912
236	2454	7900
237	2464	7890
238	2474	7878
239	2484	7866
240	2493	7853
241	2503	7840
242	2512	7827
243	2521	7813
244	2531	7800
245	2592	7945
246	2607	7950
247	2618	7941
248	2628	7927
249	2638	7914
250	2649	7906
251	2664	7907
252	2680	7915
253	2693	7912
254	2703	7899
255	2716	7894
256	2726	7883
257	2736	7871
258	2746	7859
259	2757	7847
260	2767	7836
261	2777	7822
262	2787	7810
263	2796	7797
264	2806	7784
265	2816	7771
266	2826	7758
267	2835	7745
268	2845	7733
269	2856	7723
270	2866	7711
271	2876	7698
272	2887	7688
273	2897	7676
274	2908	7666
275	2918	7655
276	2931	7650
277	2945	7649
278	2957	7642
279	2968	7632
280	2978	7621
281	2988	7609
282	2999	7598
283	3009	7586
284	3018	7573
285	3028	7561
286	3039	7550
287	3049	7539
288	3060	7528
289	3070	7517
290	3081	7507
291	3091	7496
292	3102	7485
293	3112	7473
294	3122	7461
295	3132	7450
296	3142	7439
297	3152	7427
298	3162	7415
299	3173	7403
300	3183	7391
301	3193	7380
302	3202	7366
303	3211	7352
304	3221	7340
305	3231	7328
306	3241	7316
307	3250	7303
308	3259	7290
309	3269	7277
310	3280	7267
311	3291	7257
312	3300	7243
313	3310	7231
314	3319	7219
315	3329	7206
316	3339	7195
317	3349	7182
318	3358	7170
319	3368	7158
320	3378	7146
321	3388	7134
322	3397	7121
323	3407	7109
324	3416	7096
325	3426	7084
326	3436	7073
327	3446	7060
328	3456	7049
329	3466	7038
330	3476	7026
331	3486	7014
332	3496	7003
333	3506	6992
334	3516	6980
335	3525	6967
336	3535	6955
337	3545	6943
338	3555	6933
339	3565	6922
340	3575	6910
341	3585	6899
342	3595	6887
343	3605	6875
344	3614	6862
345	3624	6851
346	3634	6839
347	3644	6828
348	3655	6817
349	3665	6806
350	3675	6795
351	3685	6783
352	3695	6772
353	3706	6762
354	3715	6751
355	3726	6740
356	3735	6728
357	3745	6716
358	3755	6706
359	3766	6696
360	3776	6684
361	3785	6672
362	3795	6660
363	3805	6648
364	3814	6636
365	3824	6624
366	3834	6613
367	3844	6601
368	3854	6591
369	3864	6579
370	3873	6567
371	3884	6556
372	3893	6545
373	3903	6534
374	3915	6526
375	3926	6515
376	3935	6504
377	3946	6493
378	3956	6482
379	3966	6471
380	3976	6460
381	3985	6448
382	3995	6436
383	4005	6425
384	4015	6414
385	4025	6402
386	4035	6391
387	4045	6380
388	4055	6369
389	4065	6358
390	4075	6348
391	4085	6336
392	4094	6324
393	4104	6313
394	4115	6302
395	4125	6293
396	4136	6282
397	4146	6271
398	4156	6261
399	4167	6250
400	4177	6239
401	4187	6228
402	4197	6217
403	4206	6205
404	4216	6194
405	4226	6182
406	4235	6171
407	4246	6162
408	4256	6150
409	4266	6139
410	4275	6127
411	4285	6116
412	4296	6106
413	4306	6096
414	4316	6084
415	4326	6074
416	4336	6063
417	4347	6052
418	4356	6041
419	4367	6030
420	4376	6019
421	4386	6008
422	4396	5996
423	4406	5985
424	4415	5973
425	4424	5961
426	4434	5950
427	4445	5941
428	4455	5929
429	4465	5918
430	4475	5908
431	4485	5897
432	4495	5886
433	4504	5875
434	4515	5864
435	4526	5855
436	4575	5895
437	4589	5888
438	4599	5877
439	4609	5866
440	4619	5855
441	4629	5844
442	4638	5832
443	4649	5822
444	4659	5811
445	4669	5799
446	4678	5788
447	4688	5776
448	4698	5765
449	4708	5754
450	4718	5743
451	4729	5734
452	4739	5723
453	4749	5712
454	4759	5701
455	4769	5689
456	4779	5678
457	4789	5668
458	4799	5657
459	4809	5646
460	4820	5635
461	4830	5624
462	4841	5615
463	4851	5603
464	4861	5593
465	4871	5582
466	4880	5570
467	4891	5559
468	4900	5548
469	4910	5537
470	4920	5526
471	4932	5517
472	4942	5507
473	4953	5496
474	4964	5486
475	4974	5475
476	4983	5464
477	4993	5453
478	5003	5442
479	5014	5432
480	5024	5421
481	5034	5410
482	5045	5400
483	5055	5389
484	5066	5379
485	5076	5369
486	5087	5359
487	5097	5348
488	5107	5337
489	5118	5327
490	5128	5316
491	5140	5307
492	5150	5296
493	5160	5285
494	5170	5275
495	5180	5264
496	5190	5253
497	5200	5242
498	5209	5230
499	5219	5219
500	5229	5208
501	5238	5197
502	5248	5185
503	5259	5175
504	5269	5164
505	5278	5153
506	5288	5142
507	5298	5131
508	5308	5120
509	5317	5109
510	5328	5098
511	5338	5088
512	5349	5078
513	5360	5068
514	5370	5057
515	5380	5046
516	5390	5035
517	5400	5025
518	5410	5014
519	5420	5003
520	5430	4992
521	5440	4982
522	5450	4971
523	5460	4960
524	5470	4949
525	5480	4938
526	5490	4927
527	5500	4916
528	5510	4905
529	5520	4895
530	5530	4884
531	5540	4874
532	5550	4863
533	5561	4852
534	5570	4841
535	5580	4831
536	5590	4820
537	5600	4809
538	5610	4798
539	5620	4787
540	5629	4776
541	5639	4765
542	5648	4753
543	5658	4742
544	5667	4731
545	5677	4720
546	5686	4709
547	5697	4699
548	5706	4688
549	5716	4677
550	5727	4666
551	5737	4656
552	5748	4646
553	5758	4636
554	5768	4625
555	5778	4614
556	5788	4603
557	5798	4593
558	5808	4582
559	5818	4571
560	5828	4560
561	5837	4549
562	5847	4539
563	5858	4528
564	5867	4517
565	5877	4506
566	5887	4495
567	5896	4484
568	5906	4474
569	5916	4463
570	5925	4452
571	5935	4441
572	5945	4430
573	5956	4421
574	5967	4410
575	5976	4399
576	5987	4389
577	5997	4378
578	6006	4367
579	6016	4357
580	6026	4346
581	6036	4335
582	6046	4324
583	6056	4314
584	6066	4303
585	6077	4293
586	6086	4282
587	6096	4271
588	6106	4260
589	6115	4250
590	6125	4239
591	6136	4229
592	6146	4218
593	6157	4208
594	6168	4198
595	6178	4188
596	6188	4177
597	6198	4166
598	6208	4156
599	6219	4146
600	6229	4135
601	6239	4125
602	6249	4114
603	6259	4103
604	6270	4093
605	6280	4083
606	6290	4072
607	6299	4061
608	6309	4051
609	6319	4040
610	6329	4030
611	6340	4019
612	6349	4008
613	6360	3998
614	6371	3988
615	6380	3977
616	6390	3966
617	6400	3956
618	6410	3945
619	6420	3934
620	6430	3924
621	6439	3913
622	6449	3902
623	6459	3891
624	6469	3881
625	6479	3870
626	6489	3860
627	6499	3849
628	6508	3839
629	6518	3828
630	6528	3817
631	6538	3807
632	6548	3796
633	6559	3786
634	6571	3777
635	6581	3766
636	6591	3756
637	6601	3745
638	6611	3735
639	6621	3724
640	6631	3714
641	6641	3703
642	6650	3692
643	6660	3682
644	6671	3671
645	6681	3661
646	6690	3650
647	6700	3639
648	6710	3629
649	6720	3618
650	6730	3608
651	6740	3597
652	6750	3587
653	6761	3576
654	6771	3566
655	6789	3560
656	6798	3549
657	6808	3538
658	6818	3528
659	6828	3517
660	6838	3507
661	6848	3496
662	6859	3486
663	6869	3476
664	6878	3465
665	6888	3454
666	6898	3444
667	6911	3434
668	6921	3424
669	6931	3413
670	6940	3403
671	6951	3392
672	6961	3382
673	6972	3372
674	6983	3362
675	6994	3352
676	7003	3341
677	7013	3331
678	7024	3320
679	7033	3309
680	7043	3299
681	7054	3289
682	7064	3278
683	7074	3268
684	7084	3257
685	7094	3247
686	7104	3236
687	7114	3226
688	7124	3215
689	7133	3205
690	7143	3194
691	7153	3183
692	7164	3173
693	7174	3163
694	7185	3153
695	7194	3142
696	7204	3132
697	7214	3121
698	7225	3111
699	7235	3100
700	7244	3090
701	7254	3079
702	7264	3069
703	7274	3058
704	7284	3047
705	7293	3037
706	7303	3026
707	7313	3016
708	7323	3006
709	7333	2995
710	7342	2984
711	7353	2974
712	7364	2964
713	7374	2953
714	7386	2944
715	7396	2933
716	7405	2923
717	7416	2912
718	7425	2902
719	7435	2891
720	7445	2881
721	7455	2870
722	7465	2860
723	7475	2849
724	7485	2839
725	7495	2829
726	7505	2818
727	7515	2807
728	7525	2797
729	7535	2787
730	7544	2776
731	7554	2765
732	7565	2755
733	7574	2745
734	7585	2734
735	7596	2724
736	7606	2714
737	7615	2703
738	7624	2692
739	7634	2682
740	7643	2671
741	7653	2661
742	7663	2650
743	7673	2640
744	7683	2630
745	7693	2619
746	7703	2608
747	7713	2598
748	7722	2588
749	7733	2577
750	7743	2567
751	7753	2556
752	7762	2546
753	7773	2536
754	7783	2525
755	7794	2515
756	7804	2505
757	7814	2494
758	7824	2484
759	7835	2474
760	7844	2463
761	7854	2453
762	7864	2442
763	7875	2432
764	7885	2422
765	7894	2411
766	7904	2401
767	7914	2390
768	7924	2380
769	7934	2370
770	7944	2359
771	7954	2349
772	7964	2338
773	7974	2328
774	7984	2318
775	7994	2307
776	8006	2297
777	8016	2287
778	8025	2276
779	8035	2266
780	8044	2255
781	8054	2245
782	8064	2234
783	8074	2224
784	8084	2214
785	8095	2204
786	8105	2193
787	8115	2183
788	8125	2172
789	8135	2162
790	8145	2152
791	8155	2141
792	8165	2131
793	8175	2121
794	8185	2110
795	8195	2100
796	8207	2090
797	8216	2079
798	8226	2069
799	8237	2059
800	8246	2048
801	8256	2038
802	8266	2028
803	8278	2018
804	8287	2007
805	8297	1997
806	8307	1986
807	8316	1976
808	8327	1965
809	8336	1955
810	8346	1945
811	8356	1934
812	8366	1924
813	8377	1914
814	8387	1903
815	8398	1893
816	8408	1883
817	8418	1873
818	8428	1862
819	8438	1852
820	8448	1842
821	8458	1831
822	8468	1821
823	8478	1811
824	8489	1800
825	8499	1790
826	8508	1779
827	8520	1770
828	8533	1760
829	8548	1750
830	8562	1741
831	8594	1735
832	8617	1727
833	8635	1718
834	8653	1709
835	8671	1701
836	8683	1691
837	8694	1680
838	8704	1670
839	8715	1660
840	8726	1649
841	8736	1639
842	8749	1629
843	8760	1619
844	8770	1608
845	8781	1598
846	8792	1588
847	8802	1577
848	8814	1567
849	8825	1557
850	8835	1546
851	8850	1537
852	8897	1533
853	8914	1524
854	8925	1513
855	8936	1503
856	8947	1493
857	8959	1482
858	8970	1472
859	8981	1462
860	8991	1451
861	9001	1441
862	9012	1430
863	9022	1420
864	9033	1409
865	9043	1399
866	9053	1388
867	9063	1378
868	9073	1367
869	9083	1357
870	9094	1346
871	9104	1336
872	9114	1325
873	9124	1315
874	9134	1304
875	9146	1294
876	9157	1284
877	9169	1274
878	9179	1263
879	9190	1253
880	9201	1242
881	9212	1232
882	9222	1222
883	9232	1211
884	9242	1201
885	9252	1190
886	9262	1179
887	9273	1169
888	9282	1159
889	9294	1148
890	9303	1138
891	9313	1127
892	9323	1117
893	9333	1106
894	9344	1096
895	9354	1085
896	9364	1075
897	9373	1064
898	9382	1054
899	9393	1043
900	9404	1033
901	9415	1022
902	9425	1012
903	9436	1002
904	9446	991
905	9456	981
906	9466	970
907	9476	960
908	9486	949
909	9500	939
910	9512	929
911	9523	918
912	9534	908
913	9544	898
914	9555	887
915	9566	877
916	9577	866
917	9588	856
918	9599	846
919	9609	835
920	9620	825
921	9630	814
922	9641	804
923	9652	793
924	9663	783
925	9673	773
926	9684	762
927	9694	752
928	9705	741
929	9715	731
930	9725	720
931	9735	710
932	9745	699
933	9755	689
934	9765	678
935	9776	668
936	9787	658
937	9796	647
938	9807	637
939	9818	626
940	9829	616
941	9840	605
942	9851	595
943	9861	585
944	9872	574
945	9883	564
946	9893	553
947	9904	543
948	9914	532
949	9925	522
950	9936	511
951	9947	501
952	9958	491
953	9969	480
954	9979	470
955	9989	459
956	10001	449
957	10011	438
958	10022	428
959	10032	418
960	10044	407
961	10055	397
962	10066	386
963	10076	376
964	10086	365
965	10097	355
966	10107	344
967	10117	334
968	10127	324
969	10138	313
970	10149	303
971	10159	292
972	10170	282
973	10181	271
974	10191	261
975	10202	250
976	10213	240
977	10225	230
978	10236	219
979	10248	209
980	10259	198
981	10269	188
982	10280	177
983	10290	167
984	10300	156
985	10310	146
986	10321	135
987	10334	125
988	10345	115
989	10355	104
990	10365	94
991	10375	83
992	10385	73
993	10395	62
994	10405	52
995	10415	41
996	10425	31
997	10436	20
998	10447	10
999	10457	0
