iter	Logloss
0	0.6649398539
1	0.6407232369
2	0.6161067657
3	0.5933139698
4	0.570744704
5	0.5517391367
6	0.533978906
7	0.5189596111
8	0.5040700769
9	0.4894158911
10	0.4760789588
11	0.4621985417
12	0.4498068826
13	0.4398624646
14	0.43024683
15	0.4211322457
16	0.4122040113
17	0.4034319844
18	0.3944718043
19	0.3870839966
20	0.3799532234
21	0.3726470854
22	0.3665984961
23	0.3601207527
24	0.3538219088
25	0.3482651981
26	0.3428423252
27	0.3383112538
28	0.3336810564
29	0.329462329
30	0.324918039
31	0.3213249653
32	0.3167712395
33	0.3129253842
34	0.3095447005
35	0.305979046
36	0.3028367861
37	0.299499835
38	0.296433374
39	0.2931819952
40	0.290010127
41	0.2871857287
42	0.2842943331
43	0.2818274335
44	0.2791198908
45	0.2767001572
46	0.2742394827
47	0.272170525
48	0.2700370759
49	0.2672322437
50	0.2651980588
51	0.2632102354
52	0.2610626368
53	0.2591063506
54	0.2572045932
55	0.2554176472
56	0.2535558071
57	0.2517231729
58	0.2500316188
59	0.2482544729
60	0.246698773
61	0.2450800725
62	0.2433479733
63	0.2418178476
64	0.2403572353
65	0.2387581394
66	0.2372996424
67	0.2359616497
68	0.2342847059
69	0.2329842719
70	0.2315286371
71	0.2300744248
72	0.2287013512
73	0.2273903844
74	0.2259319216
75	0.2244780114
76	0.2232801422
77	0.2220577145
78	0.2209929555
79	0.2197676321
80	0.2186671454
81	0.2176598802
82	0.216536479
83	0.2155434783
84	0.2144486086
85	0.2134283924
86	0.2124590827
87	0.2114365754
88	0.210502982
89	0.2096999863
90	0.2085673003
91	0.2076974069
92	0.206791517
93	0.2057291209
94	0.2047091826
95	0.2038034709
96	0.2028368626
97	0.2017505176
98	0.2010807251
99	0.2002873166
100	0.1995038072
101	0.1987077531
102	0.1978490876
103	0.1969474639
104	0.1961259619
105	0.1951852984
106	0.1944477209
107	0.1938023197
108	0.1929362111
109	0.1922497994
110	0.1916501403
111	0.190959653
112	0.1903193033
113	0.1896247528
114	0.188926416
115	0.1882251178
116	0.1875400675
117	0.1869138872
118	0.1861989868
119	0.185523752
120	0.1848615009
121	0.1841815757
122	0.1835438278
123	0.1829312309
124	0.1821750114
125	0.1814459213
126	0.1809282745
127	0.1801936216
128	0.1795750681
129	0.1788729504
130	0.1782157418
131	0.1776907528
132	0.1770803878
133	0.1764590027
134	0.175822689
135	0.1752021535
136	0.1746656
137	0.1741484552
138	0.173566533
139	0.173052286
140	0.1724749883
141	0.1718888282
142	0.1713427985
143	0.1707909168
144	0.1702963159
145	0.1698161473
146	0.1692695463
147	0.1687534917
148	0.1681703095
149	0.167716898
150	0.1672503977
151	0.1667499433
152	0.1663235044
153	0.1659019739
154	0.1654799461
155	0.1650493008
156	0.1645127551
157	0.1640539227
158	0.1635275872
159	0.1630633789
160	0.1625267139
161	0.1620423125
162	0.1615242283
163	0.1610755192
164	0.1607414373
165	0.1603128597
166	0.1599482178
167	0.1594997995
168	0.1589902711
169	0.1586450519
170	0.1582449379
171	0.1579306733
172	0.1575573104
173	0.1570661782
174	0.156592643
175	0.1561299222
176	0.1556961751
177	0.1552346066
178	0.1548367767
179	0.1544865898
180	0.1539938758
181	0.1536609261
182	0.1531742269
183	0.1527199581
184	0.152356614
185	0.1519482999
186	0.1515242529
187	0.1511611422
188	0.1507206372
189	0.1504248802
190	0.1500966512
191	0.1497369482
192	0.1493221288
193	0.1490760569
194	0.148758677
195	0.1483203406
196	0.1478757581
197	0.1475116789
198	0.1472207143
199	0.1468587173
200	0.1465499729
201	0.1461773021
202	0.145858605
203	0.1453954909
204	0.1451005015
205	0.1447415988
206	0.1443012303
207	0.1440471008
208	0.1437188799
209	0.1434238781
210	0.143154537
211	0.1428525419
212	0.1425686392
213	0.1422693122
214	0.1419113529
215	0.1414590108
216	0.1411868423
217	0.1409207528
218	0.1406540341
219	0.1402919531
220	0.1397590217
221	0.1394079889
222	0.139031743
223	0.1387424356
224	0.1384541092
225	0.138101832
226	0.1377421207
227	0.137465746
228	0.1371415962
229	0.1368180856
230	0.1365024768
231	0.1361582508
232	0.1358822861
233	0.1355476585
234	0.135315108
235	0.1349976146
236	0.1347319321
237	0.1344222547
238	0.1341329242
239	0.1337849194
240	0.1335394937
241	0.1332348382
